code,shift_score,shiftpatterns,class,teachers,climate_score,climate_patterns,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
LTARC1122,0.0,{},Moyens d'expression et représentation : initiation,"['Godyns Jan', ' Mory Agnes', ' Noirhomme Barbara', ' Verbeke Pascale', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTARC1221,0.0,{},Moyens d'expression et représentation : exploration,"['Godyns Jan', ' Meagher Mark', ' Mory Agnes', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LTARC1224,0.0,{},Moyens d'expression de représentation : confirmation,"['Godyns Jan', ' Meagher Mark', ' Mory Agnes', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LTARC1321,0.0,{},Moyens d'expression et de représentation :approfondissement,"['Noirhomme Barbara', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LTARC1322,0.0,{},Moyens d'expression et de représentation : maîtrise,"['Laloux Olivier', ' Mory Agnes', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LTARC1203,0.0,{},Théorie de l'architecture : théories,"['Pleitinx Renaud', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTARC1140,0.0,{},Histoire de l'architecture : des origines au Moyen Age,"['Pouillon Henry', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTARC1240,0.0,{},Histoire de l'architecture : de la Renaissance à nos jours,"['Pouillon Henry', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTARC1243,0.0,{},Philosophie,"['Roose Marie-Clotilde', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LTARC1344,0.18382149668817505,"{""climatique raison crise"": 1, ""climatique raison"": 1, ""climatique"": 1}",Socio-anthropologie de l'habiter,"['Salembier Chloé', '']",0.0,{},0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
LTECO1202,0.0,{},"Sociétés, cultures, religions : questions éthiques","['Ghislain Bernard-Louis', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LTARC1251,1.1357100082869631,"{""ecosystemes mecanosphere univers"": 1, ""ecosystemes mecanosphere"": 1, ""ecosystemes"": 1, ""ecologies paris galilee"": 1, ""ecologies paris"": 1, ""ecologies"": 1, ""ecologie sociale consiste"": 1, ""ecologie sociale"": 1, ""ecologie environnementale felix"": 1, ""ecologie environnementale"": 1, ""ecologie"": 1}",Paysage,"['Perrotti Daniela', '']",0.0,{},1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
LTARC1142,0.43604113340399353,"{""ecologiques dus homme"": 1, ""ecologiques dus"": 1, ""ecologiques"": 1}","Architecture, ville et territoire : sciences du milieu","['Mabille Georges', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
LTARC1340,0.0,{},"Architecture, ville et territoire : modes de production","['Grosjean Benedicte', '']",0.0,{},0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
LTARC1143,0.0,{},Mathématique - géométrie,"['Buysse Martin', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTARC1144,0.0,{},Mathématique - analyse,"['Buysse Martin', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTARC1260,0.0,{},Physique du bâtiment,"['Faux Pascaline', '']",0.0,{},0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
LTARC1360,1.4891021707826866,"{""solaires acoustique correction"": 1, ""solaires acoustique"": 1, ""solaires"": 1, ""climatisation bilan energetique"": 1, ""climatisation bilan"": 1, ""climatisation"": 1}",Equipements du bâtiment et conforts,"['Faux Pascaline', '']",0.0,{},0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LTARC1160,0.0,{},Analyse des structures 1 : fondements de statique et de résistance des matériaux,"['Faux Pascaline', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTARC1261,0.0,{},Analyse des structures 2,"['Faux Pascaline', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTARC1361,0.0,{},Conception des structures 1,"['Sgambi Luca', '']",0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
LTARC1262,0.0,{},Construction et matériaux : développements,"['Wittevrongel Bernard', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTARC1362,0.0,{},Construction et matériaux : approfondissements,"['Wittevrongel Bernard', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTARC1380,0.0,{},Stage bachelier,"['Weiss Emmanuelle (coordinateur)', '']",0.0,{},0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
LTARC1123,0.0,{},Anglais 1,"['Declercq Frédéric', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LTARC1228,0.0,{},English II,"['Declercq Frédéric', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LTARC1323,0.0,{},Anglais 3,"['Declercq Frédéric', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LTARC1352,0.0,{},Régionalisme critique,"['Pouillon Henry', ' Wittevrongel Bernard', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
LTARC1365,0.0,{},Constructions simples,"['Fache Dimitri', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
LTARC1366,0.0,{},Patrimoine : restauration et réaffectation du patrimoine bâti,"['Bolle Caroline', '']",0.0,{},0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0
LEPL1301,0.0,{},Chimie et chimie physique 1,"['Contino Francesco (supplée Jonas Alain)', ' Demoustier Sophie', ' Jonas Alain', ' Nysten Bernard', ' SOMEBODY', '']",0.0,{},0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
LEPL1101,0.0,{},Algèbre,"['Glineur François', ' Jungers Raphaël', ' Remacle Jean-François', ' SOMEBODY', ' Wertz Vincent (coordinateur)', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEPL1102,0.0,{},Analyse I,"['Glineur François', ' Jungers Raphaël', ' Remacle Jean-François (coordinateur)', ' SOMEBODY', ' Wertz Vincent', '']",0.0,{},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LEPL1105,0.0,{},Analyse II,"['Glineur François', ' Keunings Roland', ' SOMEBODY', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LICAR1111,0.0,{},Structures mathématiques des espaces,"['Buysse Martin', ' Dos Santos Santana Forte Vaz Pedro', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEPL1201,0.0,{},Physique I,"['Keunings Roland', ' Legat Jean-Didier', ' SOMEBODY', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
LEPL1202,0.0,{},Physique II,"['Fisette Paul', ' Oestges Claude', ' SOMEBODY', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEPL1203A,0.0,{},Physique 3 A,,0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LICAR1701,0.0,{},Structures architecturales I : notions fondamentales et statique graphique,"['Sgambi Luca', ' Zastavni Denis', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LICAR1711,0.0,{},Compléments de statique,"['Fisette Paul', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LICAR1801,0.0,{},Matières à construire/mise en oeuvre,"['Trachte Sophie', ' Van Oost Nicolas', ' Zastavni Denis', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LICAR1821,0.0,{},Edification soutenable 1 : construction et performances,"['Altomonte Sergio', ' Trachte Sophie', ' Van Damme Manuel', '']",0.0,{},0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LGCIV1031,0.0,{},Matériaux structuraux et géomatériaux,"['Rattez Hadrien', ' Saraiva Esteves Pacheco De Almeida João', '']",0.0,{},0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
LGCIV1072,0.0,{},Mécanique des sols,"['de Chaunac de Lanzac de Montlogis Henri', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGCIV1022,0.0,{},Mécanique des structures,"['Latteur Pierre', '']",0.0,{},0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
LGCIV1023,0.0,{},Stabilité des constructions,"['Saraiva Esteves Pacheco De Almeida João', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGCIV1051A,0.0,{},hydraulique,,0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGCIV1032,0.0,{},Structures en béton armé,"['Cap Jean-François', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LICAR1101,0.0,{},Approche croisée de l'architecture 1 : anthropologie et philosophie,"['Stillemans Jean', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LICAR1102,0.0,{},Approche croisée de l'architecture 2 : philosophie et esthétique,"['Stillemans Jean', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LICAR1201,0.0,{},Théorie de l'architecture 1 : introduction,"['Vanderburgh David', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LICAR1202,0.0,{},Théorie de l'architecture 2 : les théories,"['De Raedt Nele', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LICAR1203,0.0,{},Théorie de l'architecture 3 : la composition,"['Vanderburgh David', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LICAR1302,0.0,{},Histoire de l'architecture : le contemporain,"['Masson Olivier', '']",0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LICAR1303,0.0,{},Histoire de l'art : le moderne et le contemporain,"['Pouillon Henry', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LICAR1304,0.0,{},Histoire de l'architecture et de la ville,"['Gilot Christian (coordinateur)', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
LARKE1556,0.0,{},Arts et civilisations : architecture de l'Antiquité et du moyen-âge,"['Bragard Philippe', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARKE1554,0.0,{},Arts et civilisations : architecture de la Renaissance à nos jours,"['Bragard Philippe', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LICAR1502,0.0,{},Dessin 2 : Lieux,"['Bourez Olivier', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LICAR1504,0.0,{},Dessin 4 : la présentation et ses techniques,"['Andrieux Frédéric', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LICAR1602,0.0,{},Atelier 2 : Histoire et Habitat,"['Masson Olivier', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LICAR1605,0.0,{},"Atelier 5 : orientation Architecture, Technologie et Développement durable","['Altomonte Sergio', ' Zastavni Denis', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LICAR1606,0.0,{},"Atelier 6 : Orientation Architecture, Ville, Paysage","['Outers Martin', ' Stephan Andre', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LICAR1607,0.0,{},Atelier 7 : Synthèse,"['Bourez Olivier', ' Van Oost Nicolas', '']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LANGL1971,0.0,{},Anglais pour ingénieurs civils architectes,"['Serbest Nevin (coordinateur)', '']",0.0,{},0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
LANGL1972,0.0,{},Anglais II pour ingénieurs civils architectes,"['Serbest Nevin (coordinateur)', '']",0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
