id,climate,energy,environment,durability,total
SC_54551899,0,0,0,0,0
SC_54099672,0,0,0,0,0
SC_54616380,0,0,0,0,0
SC_54100144,0,0,0,0,0
SC_54623518,0,0,0,0,0
SC_54100357,0,0,0,0,0
SC_54616233,0,0,0,0,0
SC_50074694,6,0,0,2,8
SC_52029631,0,0,0,0,0
SC_53543240,0,1,0,0,1
SC_51806157,0,0,0,0,0
SC_54616312,0,0,0,0,0
SC_53777207,0,0,0,0,0
SC_55547230,0,0,0,0,0
SC_51230644,0,0,0,0,0
SC_54166597,0,0,0,0,0
SC_51017077,0,0,0,0,0
SC_52710236,0,0,0,0,0
SC_50892655,0,0,0,0,0
SC_50046385,0,0,0,0,0
SC_50046380,0,0,0,0,0
SC_50046361,0,0,0,0,0
SC_50046346,0,0,0,0,0
SC_50046367,0,0,0,0,0
SC_50046298,0,0,0,0,0
SC_50046396,0,0,0,0,0
SC_50046287,0,0,0,0,0
SC_50594719,0,0,0,0,0
SC_50046305,0,0,0,0,0
SC_50046373,0,0,0,0,0
SC_50046257,0,0,0,0,0
SC_54105375,0,0,0,0,0
SC_50046283,0,0,0,0,0
SC_50046355,0,0,0,0,0
SC_51016831,0,0,0,0,0
SC_51016819,0,0,0,0,0
SC_53844593,0,0,0,0,0
SC_52330593,0,0,0,0,0
SC_51017027,1,0,0,0,1
SC_51016837,1,0,0,0,1
SC_53808323,0,0,0,0,0
SC_51249595,0,0,0,0,0
SC_51858292,1,0,0,1,1
SC_51230641,0,0,0,0,0
SC_51858295,0,0,0,0,0
SC_51230640,0,0,0,0,0
SC_54957980,0,0,0,0,0
SC_54959460,0,0,0,0,0
SC_54957836,0,0,0,0,0
SC_54958248,0,0,0,0,0
SC_54957794,1,0,0,1,1
SC_54958113,0,0,0,0,0
SC_54959486,0,0,0,0,0
SC_54957885,0,0,0,0,0
SC_54743916,0,0,0,3,3
SC_54743347,1,0,0,3,4
SC_51016835,0,0,0,0,0
SC_54060577,0,0,0,0,0
SC_54086540,0,0,0,0,0
SC_54077579,0,0,0,0,0
SC_54088661,0,0,0,0,0
SC_51017026,1,0,0,0,1
SC_53269274,1,0,0,0,1
SC_51016838,1,0,0,0,1
SC_51016825,0,0,0,0,0
SC_53685810,0,0,0,0,0
SC_51249594,0,1,0,0,1
SC_51016824,0,0,0,0,0
SC_51016916,0,0,0,0,0
SC_54301052,1,0,0,0,1
SC_54054038,1,0,0,0,1
SC_54952582,0,0,0,0,0
SC_54959633,0,0,0,0,0
SC_51230639,0,1,0,0,1
SC_51858287,0,0,0,0,0
SC_54950511,0,0,0,0,0
SC_54952872,0,0,0,0,0
SC_54950389,1,0,0,1,1
SC_54952671,0,0,0,0,0
SC_54959196,0,0,0,0,0
SC_54952514,0,0,0,0,0
SC_54743914,0,0,0,1,1
SC_54740905,1,0,0,1,2
SC_51217577,0,0,0,0,0
SC_51016834,0,0,0,1,1
SC_53661298,2,0,0,0,2
SC_51903442,0,0,0,0,0
SC_53288947,0,0,0,0,0
SC_51858314,0,0,0,0,0
SC_53291083,0,0,0,0,0
SC_51903441,0,0,1,2,2
SC_53290087,0,0,0,0,0
SC_50666738,0,0,0,0,0
SC_53290084,0,0,0,0,0
SC_53289886,0,0,0,0,0
SC_51858311,0,0,0,0,0
SC_53291045,0,0,0,0,0
SC_53288493,0,0,0,0,0
SC_51858316,0,0,0,0,0
SC_54052262,0,0,0,0,0
SC_51858333,0,0,0,0,0
SC_54001599,0,0,0,0,0
SC_51858330,0,0,0,0,0
SC_53997307,0,0,0,0,0
SC_54052774,0,0,0,0,0
SC_50670442,0,0,0,0,0
SC_51858328,0,0,0,0,0
SC_50527715,0,0,0,0,0
SC_54943688,0,0,0,0,0
SC_53998178,0,0,0,0,0
SC_53999322,0,0,0,0,0
SC_50670522,0,0,0,0,0
SC_52416834,0,0,0,0,0
SC_50670396,0,0,0,0,0
SC_54061291,0,0,1,2,2
SC_54045656,0,0,0,0,0
SC_51016901,0,0,1,0,1
SC_51016902,1,0,1,0,2
SC_51230633,0,0,0,0,0
SC_51858235,0,0,1,2,2
SC_50670393,0,0,0,0,0
SC_50670387,0,0,0,0,0
SC_55547560,0,0,0,0,0
SC_54943418,0,0,0,0,0
SC_50670524,0,0,0,0,0
SC_51016900,0,0,0,0,0
SC_51016754,1,0,0,1,1
SC_51228340,0,0,0,0,0
SC_51012937,0,0,0,0,0
SC_54541861,0,0,0,0,0
SC_55023429,1,0,0,1,1
SC_52411382,2,0,0,1,2
SC_51012841,0,0,1,0,1
SC_51004622,1,0,2,2,4
SC_51012827,2,0,0,1,2
SC_51016897,2,0,1,3,4
SC_55023158,1,0,0,1,1
SC_51016898,1,0,0,1,1
SC_53588625,0,0,0,0,0
SC_51016756,0,0,0,0,0
SC_50468160,0,0,0,0,0
SC_51012935,0,0,0,0,0
SC_51016910,0,0,0,0,0
SC_51009897,0,0,0,0,0
SC_51016753,1,0,0,1,1
SC_51744646,0,0,0,3,3
SC_51016957,0,0,0,0,0
SC_50046045,0,0,0,0,0
SC_50046165,0,0,0,0,0
SC_51016813,1,0,0,0,1
SC_51016816,2,0,0,2,4
SC_51551389,0,0,0,0,0
SC_51016773,0,0,1,1,2
SC_52924467,0,0,0,0,0
SC_51016810,0,0,0,1,1
SC_55283576,0,0,0,0,0
SC_51016809,0,0,1,1,2
SC_55477760,0,0,0,0,0
SC_53973612,0,0,0,0,0
SC_51016811,0,0,0,0,0
SC_51016989,0,0,0,0,0
SC_54298557,1,0,0,1,2
SC_51016795,1,0,1,1,3
SC_51016915,1,0,0,0,1
SC_52466523,0,0,1,0,1
SC_51230638,0,1,0,0,1
SC_51858285,0,0,0,0,0
SC_54752960,1,0,0,0,1
SC_51016808,0,0,0,3,3
SC_51016833,1,0,0,0,1
SC_55543504,1,0,0,0,1
SC_51017028,1,0,0,1,2
SC_51016815,1,0,0,1,2
SC_53269127,0,0,0,0,0
SC_50667272,0,0,0,0,0
SC_50823049,0,0,1,0,1
SC_50667285,0,0,0,0,0
SC_53288980,0,0,0,0,0
SC_51858308,0,0,1,2,2
SC_50823068,0,0,0,0,0
SC_53288741,0,0,0,0,0
SC_51016926,0,0,0,0,0
SC_51087771,0,0,0,0,0
SC_50520509,0,0,0,0,0
SC_54844357,0,0,0,3,3
SC_51013774,0,0,0,0,0
SC_54536389,0,0,0,0,0
SC_53265188,0,0,0,0,0
SC_53265185,0,0,0,0,0
SC_54049464,0,0,0,0,0
SC_51858325,0,0,0,0,0
SC_53265147,0,0,0,0,0
SC_50670564,0,0,0,0,0
SC_54536381,0,0,0,0,0
SC_54536214,0,0,0,0,0
SC_54536036,0,0,0,0,0
SC_54536025,0,0,0,0,0
SC_54046887,0,0,0,0,0
SC_51087760,0,0,0,0,0
SC_51016894,2,0,2,3,5
SC_51016895,0,1,2,2,4
SC_55035973,3,1,0,1,3
SC_55037747,5,1,3,4,7
SC_55035778,0,0,0,0,0
SC_55636693,0,0,0,0,0
SC_55636692,0,0,0,0,0
SC_54046695,0,0,0,0,0
SC_54046461,0,0,0,0,0
SC_55016157,0,0,0,0,0
SC_53662956,0,0,0,0,0
SC_55707541,0,0,0,0,0
SC_54765511,0,0,0,0,0
SC_55347017,0,0,1,0,1
SC_55506541,0,0,1,0,1
SC_51016939,0,0,0,0,0
SC_54641228,0,0,0,0,0
SC_54647470,0,0,0,0,0
SC_50903320,0,0,0,0,0
SC_50046076,0,0,0,0,0
SC_50903257,0,0,0,0,0
SC_50046056,0,0,0,0,0
SC_53613074,0,0,0,0,0
SC_53641246,0,0,0,0,0
SC_51016797,0,0,0,0,0
SC_54956174,0,0,0,0,0
SC_54959534,0,0,0,0,0
SC_54955547,0,0,0,0,0
SC_54956671,0,0,0,0,0
SC_54956655,0,0,0,0,0
SC_54955933,0,0,0,0,0
SC_54743910,0,0,0,0,0
SC_54935413,1,0,0,1,1
