code,shift_score,shiftpatterns,class,teachers,climate_score,climate_patterns,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
DROIB132,0.0,{},63,"['MONSEU-VAN CLEEMPUT Nicolas', 'Rizzerio Laura', 'Lambert Dominique (suppléant)']",0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
DROIB150,0.0,{},64,['Brackelaire Jean-Luc'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DROIB152,0.0,{},65,['Colson Bruno'],0.0,{},0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
DROIB153,0.0,{},66,['TIXHON Axel'],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DROIB154,0.0,{},67,['Cheffert Jean-Marie'],0.0,{},0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
DROIB210,0.0,{},68,['DE STREEL Alexandre'],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DROIB211,0.0,{},69,"['George Florence', 'Thunis Xavier']",0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DROIB212,0.0,{},70,['MATHIEU Géraldine'],0.0,{},0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
DROIB213,0.0,{},71,['DE TERWANGNE CÉCILE'],0.0,{},0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
DROIB214,0.0,{},72,['Basecqz Nathalie'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DROIB216,0.0,{},73,['Mougenot Dominique'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
DROIB218,0.0,{},74,['Deville Guy'],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DROIB219,0.0,{},75,['Gérard Jacques'],0.0,{},0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
DROIB220,0.0,{},76,['MATHIEU Géraldine'],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DROIB240,0.0,{},77,"['Lambert Dominique', 'Malvaux Paul (suppléant)']",0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DROIB242,0.0,{},78,['Longneaux Jean-Michel'],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DROIB243,0.0,{},79,['Hubert Hugues-Olivier'],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DROIB244,0.0,{},80,['Lambert Dominique'],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DROIB310,0.0,{},81,['Thunis Xavier'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DROIB311,0.0,{},82,['Basecqz Nathalie'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DROIB312,0.0,{},83,['Vuye Hendrik'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
DROIB313,0.0,{},84,['MICHAUX Benoit'],0.0,{},1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DROIB314,0.0,{},85,['Jacquemin Hervé'],0.0,{},0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0
DROIB315,0.0,{},86,['CRUQUENAIRE Alexandre'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
DROIB316,0.0,{},87,['MICHAUX Benoit'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
DROIB317,0.0,{},88,['Flohimont Valérie'],0.0,{},0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
DROIB318,0.0,{},89,['Nihoul Marc'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
DROIB319,0.0,{},90,['Degrave Elise'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DROIB320,0.0,{},91,['Montero Redondo Etienne'],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
DROIB322,0.0,{},92,['Cheffert Jean-Marie'],0.0,{},0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
DROIB323,0.0,{},93,['Thunis Xavier'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DROIB324,0.0,{},94,['Nihoul Marc'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
DROIB325,0.0,{},95,['ROMMELAERE Claire'],0.0,{},0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
DROIB326,0.0,{},96,"['Hubert Hugues-Olivier', 'TIXHON Axel']",0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DROIB328,0.0,{},97,['Masson Antoine'],0.0,{},0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
DROIB329,0.0,{},98,['DE TERWANGNE CÉCILE'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DROIB330,0.14907216346581045,"{""ecologique objet partie"": 1, ""ecologique objet"": 1, ""ecologique"": 1, ""developpement durable trouver"": 1, ""developpement durable terrain"": 1, ""developpement durable portee"": 1, ""developpement durable entree"": 1, ""developpement durable contenu"": 1, ""developpement durable comprendre"": 1, ""developpement durable"": 1}",99,['Thunis Xavier'],0.0,{},0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0
DROIB332,0.0,{},100,['Nihoul Marc'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DROIB333,0.0,{},101,['Degrave Elise'],0.0,{},0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0
DROIB334,0.0,{},102,['Vuye Hendrik'],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DROIB335,0.0,{},103,['Sepulchre Joseph'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DROIB336,0.0,{},104,['Flohimont Valérie'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DROIB337,0.0,{},105,['MICHAUX Benoit'],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DROIB338,0.0,{},106,[],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DROIB339,0.0,{},107,['MICHAUX Benoit'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
DROIB340,0.0,{},108,['Mallien Michaël'],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DROIB391,0.0,{},109,['Degrave Elise'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DROIB392,0.0,{},110,['Degrave Elise'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DROIB393,0.0,{},111,['Degrave Elise'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DROIB394,0.0,{},112,['Degrave Elise'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DROIB395,0.0,{},113,['Degrave Elise'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DROIB396,0.0,{},114,['Degrave Elise'],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DROIB397,0.0,{},115,[],0.0,{},0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DROP2061,2.1532165458352246,"{""ecologie finalite specialisee25"": 1, ""ecologie finalite specialisee15"": 1, ""ecologie finalite didactique25"": 1, ""ecologie finalite didactique15"": 1, ""ecologie finalite approfondie25"": 1, ""ecologie finalite approfondie15"": 1, ""ecologie finalite"": 1, ""ecologie"": 1}",116,[],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DROP2063,2.1544834032608042,"{""ecologie finalite specialisee25"": 1, ""ecologie finalite specialisee15"": 1, ""ecologie finalite didactique25"": 1, ""ecologie finalite didactique15"": 1, ""ecologie finalite approfondie25"": 1, ""ecologie finalite approfondie15"": 1, ""ecologie finalite"": 1, ""ecologie"": 1}",117,[],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DROP2101,2.143928210516923,"{""ecologie finalite specialisee25"": 1, ""ecologie finalite specialisee15"": 1, ""ecologie finalite didactique25"": 1, ""ecologie finalite didactique15"": 1, ""ecologie finalite approfondie25"": 1, ""ecologie finalite approfondie15"": 1, ""ecologie finalite"": 1, ""ecologie"": 1}",118,[],0.0,{},0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
