id,climate,energy,environment,durability
LBIRC2109,0,0,0,0
LBIRC2130,0,0,0,0
LBIRC2130A,0,0,0,0
LBIRC2210,0,0,0,0
LBIRC2200,0,0,0,0
LBIRC2201,0,0,0,0
LBIRE2102,0,0,0,0
LBIRE2104,0,0,0,0
LBIRE2102A,0,0,0,0
LBIRE2105,0,0,1,0
LBIRE2130,0,0,0,1
LBIRE2131,0,0,0,1
LBIRE2200,0,0,0,0
LBIRE2205A,0,0,0,0
LBIRF2101,0,0,0,0
LBIRE2210,0,0,0,0
LBIRF2102,0,0,0,1
LBIRF2103,0,0,0,0
LBIRF2105,0,0,0,0
LBIRF2104,0,0,1,0
LBIRF2106,1,0,0,0
LBIRF2200,0,0,0,0
LBIRF2201,0,0,0,0
LBIRF2202,0,0,0,0
LBIRF2213,0,0,0,0
LBIRF2204,0,0,0,0
LBNEN2000,0,0,0,0
LBIRF2230,0,0,0,0
LBNEN2002,0,0,0,0
LBNEN2003,0,0,0,0
LBNEN2001,0,0,0,0
LBNEN2006,0,0,0,0
LBNEN2008,0,0,0,0
LBNEN2011,0,0,0,0
LBNEN2010,0,0,0,0
LBNEN2990,0,0,0,0
LBOE2109,0,0,0,0
LBOE2111,0,0,0,0
LBOE2112,0,0,0,0
LBOE2113,0,0,0,0
LBOE2120,0,0,0,0
LBOE2166,0,0,0,0
LBOE2196,0,0,0,0
LBOE2191,1,0,1,0
LBOE2292,0,0,0,0
LBOE2197,0,0,0,0
LBOE2297,0,0,0,0
LBRAI2210,0,0,0,0
LBRAI2212,0,0,0,0
LBRAI2218,0,0,0,0
LBRAI2219,0,0,0,0
LBRAI2220,0,0,0,0
LBRAI2220A,0,0,0,0
LBRAI2221,0,0,1,0
LBRAI2222,0,0,0,0
LBRAL2102,0,0,0,0
LBRAL2102A,0,0,0,0
LBRAL2102F,0,0,0,0
LBRAL2103A,0,0,0,0
LBRAL2104,0,0,0,0
LBRAL2202,0,0,0,0
LBRAS2302,0,0,0,0
LBRAS2301,0,0,0,0
LBRAS2303,0,0,0,0
LBRAS2304,0,0,0,0
LBRAS2305,0,0,0,0
LBRAS2310,0,0,0,0
LBRAT2101,0,0,0,0
LBRAT2102,0,0,0,0
LBRAT2101B,0,0,0,0
