code,shift_score,shiftpatterns,class,teachers,climate_score,climate_patterns,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
HULG9371-1,0.0,{},68,[''],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEOG0038-1,0.0,{},69,['René\xa0Warnant'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MECA0517-1,0.0,{},70,['Olivier\xa0Bruls'],0.0,{},0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
LANG5002-1,0.0,{},71,"['Jérôme\xa0Gaillard', 'Pascal\xa0Maquinay', 'Sébastien\xa0Schoenmaeckers', 'Andrea\xa0Tudino']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PESU1017-5,0.0,{},72,"['Catherine\xa0Delfosse', 'Pascal\xa0Detroz', 'Françoise\xa0Jérôme', 'Dominique\xa0Verpoorten', 'Catherine\xa0Delfosse', 'Pascal\xa0Detroz', 'Françoise\xa0Jérôme', 'Dominique\xa0Verpoorten', 'Catherine\xa0Delfosse', 'Pascal\xa0Detroz', 'Françoise\xa0Jérôme', 'Dominique\xa0Verpoorten']",0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DROI2055-2,0.0,{},73,['Pieter\xa0Van\xa0Cleynenbreugel'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
INFO8004-1,0.0,{},74,"['Pierre\xa0Geurts', 'Gilles\xa0Louppe', 'Louis\xa0Wehenkel']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OCEA0060-1,0.8267044164643681,"{""ecology of the"": 1, ""ecology of"": 1, ""ecology"": 1, ""ecologiques fonctionnement trophique"": 1, ""ecologiques fonctionnement"": 1, ""ecologiques"": 1, ""ecologique abondance diversite"": 1, ""ecologique abondance"": 1, ""ecologique"": 1}",75,"['Patrick\xa0Dauby', 'Mathieu\xa0Poulicek', 'Christian\xa0Michel', 'Mathieu\xa0Poulicek']",0.0,{},1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
ECON0927-1,0.0,{},76,['Barnabé\xa0Walheer'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECON0933-1,0.0,{},77,['Lionel\xa0Artige'],0.0,{},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DROI1350-1,0.0,{},78,['David\xa0Henry'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENU2002-1,0.0,{},79,['Marc\xa0Scibetta'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HULG0419-1,0.0,{},80,['N...'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENU2011-1,0.0,{},81,['N...'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LANG0071-1,0.0,{},82,"['Christine\xa0Filot', 'Pascal\xa0Maquinay', 'Sébastien\xa0Schoenmaeckers']",0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENU2012-1,0.0,{},83,['N...'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OCEA0159-1,0.0,{},84,['Aida\xa0Alvera\xa0Azcarate'],0.0,{},0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
CHIM9256-1,0.0,{},85,['Bénédicte\xa0Vertruyen'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFO9007-1,0.0,{},86,['Anne-Françoise\xa0Donneau'],0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
