patterns,themes
responsabilites? (?:environnement|ecosyst),['life']
restaurations? forestiere,['life']
santes? environnement,['life']
services? (?:environnement|ecosyst),['life']
"[[ ]sols?[ ]+, erosion]",['life']
"[tourisme, durab]",['life']
(?:calottes?(?: polaires?|glacieres?)|permafrost|pergelisol),['life']
(?:ecosystemes?|environnements?) (?:aquatique|marin|littoral|subtidal|corallien),['life']
(?:ecosystemes?|environnements?) terrestre,['life']
agricult? biologique,['food']
agricult? durab,['food']
agro-?climatologie,['food']
agro-?ecolo,['food']
agro-?ecosyst,['food']
agro-?foresterie,['food']
circuits? court,['food']
(?:nourriture|alimentation|agriculture) local,['food']
epuisements? halieutique,['food']
peches? durab,['food']
permaculture,['food']
surpeche,['food']
"chimie (?:[^ ]+ ){0,4}verte",['prod&cons']
consom[^ ]+ durab,['prod&cons']
consom[^ ]+ responsab,['prod&cons']
eco[- ]?conception,['prod&cons']
eco[- ]?design,['prod&cons']
eco[- ]?responsab,['prod&cons']
eco[- ]?tech,['prod&cons']
effets? rebonds?,['prod&cons']
ingenieries? (?:durable|soutenable),['prod&cons']
produ[^ ]+ durab,['prod&cons']
technologies? verte,['prod&cons']
technologies? (?:durable|soutenable),['prod&cons']
technologies? (?:de l )?environnement,['prod&cons']
assainissements? des eaux,['pollution']
bio[ -]?degradable,['pollution']
bio-?remediation,['pollution']
contaminations? des sols|sols? contamine,['pollution']
controles? (?:de la pollution|des polluant),['pollution']
dechets? (?:nucleaire|radioactif),['pollution']
dumping environnement,['pollution']
ecotoxicologie,['pollution']
epurations? des eaux,['pollution']
pollu,['pollution']
qualites? de l air,['pollution']
toxicologies? environnement,['pollution']
analyses? (?:de |du )?cycle (?:de )?vie,['resources']
effica[^ ]+ (?:des )?ressource,['resources']
epuisements? (?:des? )?ressources? naturelle,['resources']
exploitations? durab,['resources']
nappes? (?:phreatique|aquifere|d eau souterrain),['resources']
pics? petrolier,['resources']
rarefactions? (des )?ressources naturelles,['resources']
ressources? (?:non-?)?renouvelable,['resources']
terres? rare,['resources']
"[gestions? (?:de l |des )?eau, environnement]",['resources']
"[recycla, acier]",['resources']
"[recycla, dechet]",['resources']
"[recycla, materiau]",['resources']
"[recycla, meta(?:l|u)]",['resources']
"[recycla, plastique]",['resources']
"[ressources? eau, environnement]",['resources']
bio[ -]?carburant,['transport']
bio[ -]?diesel,['transport']
bio[ -]?m?ethanol,['transport']
carburants? alternati,['transport']
carburants? synthetique,['transport']
micro[ -]?mobilite,['transport']
mobilites? (?:a )?hydrog,['transport']
mobilites? electriques?,['transport']
mobilites? durab,['transport']
mobilites? partage,['transport']
transports? durab,['transport']
[[ ]velos?[ ]],['transport']
(?:vehicules?|voitures?) (?:a )?hydrog,['transport']
(?:vehicules?|voitures?) hybride,['transport']
(?:vehicules?|voitures?) electrique,['transport']
economies? circulaire,['economy']
economies? des communs,['economy']
iso 1400,['economy']
micro-?finance verte,['economy']
(?:theories?|economies?) du donut,['economy']
collapsologie,['general']
