patterns,themes
stock[^ ]* (?:du |de )?(?:co2|dioxyde de carbone),"['climate', 'energy']"
strategies? climat[^ ]+,['climate']
surpeche,['resources']
temp[^ ]+ mond[^ ]+ moyenne,"['climate', 'environment']"
temp[^ ]+ moyenne mond[^ ]+,"['climate', 'environment']"
theorie de l'effondrement,['sustainability']
transiti[^ ]+ energ[^ ]+,['energy']
transiti[^ ]+ ecolo[^ ]+,['sustainability']
transport durable,['sustainability']
utilis[^ ]+ (?:d')?energ[^ ]+,['energy']
valorisat[^ ]+ (?:du |de )?(?:co2|dioxyde de carbone),"['climate', 'energy']"
ville durable,['sustainability']
voitures? (?:a )?hydrog[^ ]+,['energy']
voitures? electriques?,['energy']
