patterns,themes
permacultuur,['environment']
permafrostreductie,"['climate', 'climate', 'environment', 'environment']"
piek olie,['resources']
regeneratieve economie,['sustainability']
smelten (?:ijs(?:kap|dooi)?),"['climate', 'environment']"
smelten pool(?:kap|ijs),"['environment', 'climate']"
strategie voor klimaatverandering,['climate']
uitputting van natuurlijke hulpbronnen,['resources']
vis uitputting|uitputting van vis,['resources']
water zuivering,['resources']
waterkracht(?:energie),['energy']
waterstof auto,['energy']
waterstof mobiliteit,['energy']
weerbaarheid tegen klimaatverandering,"['climate', 'sustainability']"
weerstand tegen klimaatverandering,"['climate', 'sustainability']"
windenergie,['energy']
windkracht,['energy']
zonne[- ]?energie,['energy']
milieutechniek,['environment']
"[duurza+m(?:heid)?, development plan]",['sustainability']
politieke ecologie,['environment']
water beheersing,['sustainability']
eco(-| )?conceptie,['sustainability']
bioklima+t[^ ]* benadering,['climate']
"[besmet, ecosyst[^ ]+]",['environment']
"[strijd, klimaatverandering]",['climate']
"[strijd, opwarming van de aarde]",['climate']
milieuregelgeving,['environment']
milieuproject,['environment']
milieuvordeel,['environment']
milieubeheer,['environment']
"[milieu, hulpbron, instorten]",['environment']
milieubeleid,['environment']
milieuproble+m,['environment']
milieupsychologie,['environment']
milieueducatie,['environment']
terugkaatseffect,['sustainability']
antropoceen[^ ]+,['sustainability']
milieugezondheid,['environment']
luchtkwaliteit,['environment']
ecotoxicologie,['environment']
bodemverontreiniging|verontreinigde grond,['environment']
(?:milieu|[ ]ecolo[^ ]+|ecosyst[^ ]+)proble+m,['environment']
"[bescherming, watervoerende la+g]",['environment']
"[duurzame ontwikkeling, borg]",['sustainability']
groene microfinanciering,['sustainability']
milieubescherming,['environment']
vervuilingscontrole,['environment']
depollutie techniek,['environment']
milieu-?antropologie,['environment']
milieuvra+g,['environment']
(?:niet-?)?hernieuwbare hulpbron,['resources']
milieuverantwoordelijk,['environment']
conserveringsbiologie,['environment']
